arxiv_id,title,abstract,classified_type,MARIA_ANNOTATION
2408.01934,A Survey and Evaluation of Adversarial Attacks for Object Detection,"  Deep learning models excel in various computer vision tasks but are
susceptible to adversarial examples-subtle perturbations in input data that
lead to incorrect predictions. This vulnerability poses significant risks in
safety-critical applications such as autonomous vehicles, security
surveillance, and aircraft health monitoring. While numerous surveys focus on
adversarial attacks in image classification, the literature on such attacks in
object detection is limited. This paper offers a comprehensive taxonomy of
adversarial attacks specific to object detection, reviews existing adversarial
robustness evaluation metrics, and systematically assesses open-source attack
methods and model robustness. Key observations are provided to enhance the
understanding of attack effectiveness and corresponding countermeasures.
Additionally, we identify crucial research challenges to guide future efforts
in securing automated object detection systems.
",review,1
2109.10572,"Realism of Simulation Models in Serious Gaming: Two case studies from
  Urban Water Management Higher Education","  For games used in educational contexts, realism, i.e., the degree of
congruence between the simulation models used in the games and the real-world
systems represented, is an important characteristic for achieving learning
goals well. However, in the past, the realism of especially entertainment games
has often been identified as insufficient. Thus, this study is investigating
the degree of realism provided by current games. To this purpose, two games in
the domain urban water management, a subdomain of environmental engineering
(EE), are examined. One is ANAWAK, a web-based serious game on water management
and climate change. For ANAWAK, an analysis of the simulation model is
conducted. Second, the simulation model of the entertainment game Cities:
Skylines (CS) is analyzed. In addition, a survey among CS players (N=61) is
conducted. Thereby, different degrees of realism in various EE subdomains are
revealed. All in all, there are still considerable deficits regarding the
degree of realism in the CS simulation model. However, modding as a means of
achieving more realistic simulation models is more widely supported than in the
past.
",review,0
2308.13821,"A Survey of Imbalanced Learning on Graphs: Problems, Techniques, and
  Future Directions","  Graphs represent interconnected structures prevalent in a myriad of
real-world scenarios. Effective graph analytics, such as graph learning
methods, enables users to gain profound insights from graph data, underpinning
various tasks including node classification and link prediction. However, these
methods often suffer from data imbalance, a common issue in graph data where
certain segments possess abundant data while others are scarce, thereby leading
to biased learning outcomes. This necessitates the emerging field of imbalanced
learning on graphs, which aims to correct these data distribution skews for
more accurate and representative learning outcomes. In this survey, we embark
on a comprehensive review of the literature on imbalanced learning on graphs.
We begin by providing a definitive understanding of the concept and related
terminologies, establishing a strong foundational understanding for readers.
Following this, we propose two comprehensive taxonomies: (1) the problem
taxonomy, which describes the forms of imbalance we consider, the associated
tasks, and potential solutions; (2) the technique taxonomy, which details key
strategies for addressing these imbalances, and aids readers in their method
selection process. Finally, we suggest prospective future directions for both
problems and techniques within the sphere of imbalanced learning on graphs,
fostering further innovation in this critical area.
",review,1
2309.07689,"Detecting ChatGPT: A Survey of the State of Detecting ChatGPT-Generated
  Text","  While recent advancements in the capabilities and widespread accessibility of
generative language models, such as ChatGPT (OpenAI, 2022), have brought about
various benefits by generating fluent human-like text, the task of
distinguishing between human- and large language model (LLM) generated text has
emerged as a crucial problem. These models can potentially deceive by
generating artificial text that appears to be human-generated. This issue is
particularly significant in domains such as law, education, and science, where
ensuring the integrity of text is of the utmost importance. This survey
provides an overview of the current approaches employed to differentiate
between texts generated by humans and ChatGPT. We present an account of the
different datasets constructed for detecting ChatGPT-generated text, the
various methods utilized, what qualitative analyses into the characteristics of
human versus ChatGPT-generated text have been performed, and finally, summarize
our findings into general insights
",review,1
2406.10948,"Incorporating uncertainty quantification into travel mode choice
  modeling: a Bayesian neural network (BNN) approach and an uncertainty-guided
  active survey framework","  Existing deep learning approaches for travel mode choice modeling fail to
inform modelers about their prediction uncertainty. Even when facing scenarios
that are out of the distribution of training data, which implies high
prediction uncertainty, these approaches still provide deterministic answers,
potentially leading to misguidance. To address this limitation, this study
introduces the concept of uncertainty from the field of explainable artificial
intelligence into travel mode choice modeling. We propose a Bayesian neural
network-based travel mode prediction model (BTMP) that quantifies the
uncertainty of travel mode predictions, enabling the model itself to ""know"" and
""tell"" what it doesn't know. With BTMP, we further propose an
uncertainty-guided active survey framework, which dynamically formulates survey
questions representing travel mode choice scenarios with high prediction
uncertainty. Through iterative collection of responses to these dynamically
tailored survey questions, BTMP is iteratively trained to achieve the desired
accuracy faster with fewer questions, thereby reducing survey costs.
Experimental validation using synthetic datasets confirms the effectiveness of
BTMP in quantifying prediction uncertainty. Furthermore, experiments, utilizing
both synthetic and real-world data, demonstrate that the BTMP model, trained
with the uncertainty-guided active survey framework, requires 20% to 50% fewer
survey responses to match the performance of the model trained on randomly
collected survey data. Overall, the proposed BTMP model and active survey
framework innovatively incorporate uncertainty quantification into travel mode
choice modeling, providing model users with essential insights into prediction
reliability while optimizing data collection for deep learning model training
in a cost-efficient manner.
",review,0
2108.12673,"Tracing app technology: An ethical review in the COVID-19 era and
  directions for post-COVID-19","  We conducted a systematic literature review on the ethical considerations of
the use of contact tracing app technology, which was extensively implemented
during the COVID-19 pandemic. The rapid and extensive use of this technology
during the COVID-19 pandemic, while benefiting the public well-being by
providing information about people's mobility and movements to control the
spread of the virus, raised several ethical concerns for the post-COVID-19 era.
To investigate these concerns for the post-pandemic situation and provide
direction for future events, we analyzed the current ethical frameworks,
research, and case studies about the ethical usage of tracing app technology.
The results suggest there are seven essential ethical considerations, namely
privacy, security, acceptability, government surveillance, transparency,
justice, and voluntariness in the ethical use of contact tracing technology. In
this paper, we explain and discuss these considerations and how they are needed
for the ethical usage of this technology. The findings also highlight the
importance of developing integrated guidelines and frameworks for
implementation of such technology in the post-COVID-19 world.
",review,1
2404.1833699999997,Additive Spanner Lower Bounds with Optimal Inner Graph Structure,"  We construct $n$-node graphs on which any $O(n)$-size spanner has additive
error at least $+\Omega(n^{3/17})$, improving on the previous best lower bound
of $\Omega(n^{1/7})$ [Bodwin-Hoppenworth FOCS '22]. Our construction completes
the first two steps of a particular three-step research program, introduced in
prior work and overviewed here, aimed at producing tight bounds for the problem
by aligning aspects of the upper and lower bound constructions. More
specifically, we develop techniques that enable the use of inner graphs in the
lower bound framework whose technical properties are provably tight with the
corresponding assumptions made in the upper bounds. As an additional
application of our techniques, we improve the corresponding lower bound for
$O(n)$-size additive emulators to $+\Omega(n^{1/14})$.
",review,0
2302.10856,Overview of the TREC 2021 Fair Ranking Track,"  The TREC Fair Ranking Track aims to provide a platform for participants to
develop and evaluate novel retrieval algorithms that can provide a fair
exposure to a mixture of demographics or attributes, such as ethnicity, that
are represented by relevant documents in response to a search query. For
example, particular demographics or attributes can be represented by the
documents' topical content or authors. The 2021 Fair Ranking Track adopted a
resource allocation task. The task focused on supporting Wikipedia editors who
are looking to improve the encyclopedia's coverage of topics under the purview
of a WikiProject. WikiProject coordinators and/or Wikipedia editors search for
Wikipedia documents that are in need of editing to improve the quality of the
article. The 2021 Fair Ranking track aimed to ensure that documents that are
about, or somehow represent, certain protected characteristics receive a fair
exposure to the Wikipedia editors, so that the documents have an fair
opportunity of being improved and, therefore, be well-represented in Wikipedia.
The under-representation of particular protected characteristics in Wikipedia
can result in systematic biases that can have a negative human, social, and
economic impact, particularly for disadvantaged or protected societal groups.
",review,1
2112.06522,Anatomizing Bias in Facial Analysis,"  Existing facial analysis systems have been shown to yield biased results
against certain demographic subgroups. Due to its impact on society, it has
become imperative to ensure that these systems do not discriminate based on
gender, identity, or skin tone of individuals. This has led to research in the
identification and mitigation of bias in AI systems. In this paper, we
encapsulate bias detection/estimation and mitigation algorithms for facial
analysis. Our main contributions include a systematic review of algorithms
proposed for understanding bias, along with a taxonomy and extensive overview
of existing bias mitigation algorithms. We also discuss open challenges in the
field of biased facial analysis.
",review,1
2405.1181699999997,Systematic Review on Healthcare Systems Engineering utilizing ChatGPT,"  This paper presents an analytical framework for conducting academic reviews
in the field of Healthcare Systems Engineering, employing ChatGPT, a
state-of-the-art tool among recent language models. We utilized 9,809 abstract
paragraphs from conference presentations to systematically review the field.
The framework comprises distinct analytical processes, each employing tailored
prompts and the systematic use of the ChatGPT API. Through this framework, we
organized the target field into 11 topic categories and conducted a
comprehensive analysis covering quantitative yearly trends and detailed
sub-categories. This effort explores the potential for leveraging ChatGPT to
alleviate the burden of academic reviews. Furthermore, it provides valuable
insights into the dynamic landscape of Healthcare Systems Engineering research.
",review,1
2202.08187,"Differential Privacy and Fairness in Decisions and Learning Tasks: A
  Survey","  This paper surveys recent work in the intersection of differential privacy
(DP) and fairness. It reviews the conditions under which privacy and fairness
may have aligned or contrasting goals, analyzes how and why DP may exacerbate
bias and unfairness in decision problems and learning tasks, and describes
available mitigation measures for the fairness issues arising in DP systems.
The survey provides a unified understanding of the main challenges and
potential risks arising when deploying privacy-preserving machine-learning or
decisions-making tasks under a fairness lens.
",review,1
2307.02332,"Co-creating a Transdisciplinary Map of Technology-mediated Harms, Risks
  and Vulnerabilities: Challenges, Ambivalences and Opportunities","  The phrase ""online harms"" has emerged in recent years out of a growing
political willingness to address the ethical and social issues associated with
the use of the Internet and digital technology at large. The broad landscape
that surrounds online harms gathers a multitude of disciplinary, sectoral and
organizational efforts while raising myriad challenges and opportunities for
the crossing entrenched boundaries. In this paper we draw lessons from a
journey of co-creating a transdisciplinary knowledge infrastructure within a
large research initiative animated by the online harms agenda. We begin with a
reflection of the implications of mapping, taxonomizing and constructing
knowledge infrastructures and a brief review of how online harm and adjacent
themes have been theorized and classified in the literature to date. Grounded
on our own experience of co-creating a map of online harms, we then argue that
the map -- and the process of mapping -- perform three mutually constitutive
functions, acting simultaneously as method, medium and provocation. We draw
lessons from how an open-ended approach to mapping, despite not guaranteeing
consensus, can foster productive debate and collaboration in ethically and
politically fraught areas of research. We end with a call for CSCW research to
surface and engage with the multiple temporalities, social lives and political
sensibilities of knowledge infrastructures.
",review,1
2408.06304,"Control-Flow Attestation: Concepts, Solutions, and Open Challenges","  Control-flow attestation unifies the worlds of control-flow integrity and
platform attestation by measuring and reporting a target's run-time behaviour
to a verifier. Trust assurances in the target are provided by testing whether
its execution follows an authorised control-flow path. The problem has been
explored in various settings, such as assessing the trustworthiness of
cyber-physical systems, Internet of Things devices, cloud platforms, and many
others. Despite a significant number of proposals being made in recent years,
the area remains fragmented, addressing different adversarial behaviours,
verification paradigms, and deployment challenges. In this paper, we present
the first survey of control-flow attestation, examining the core ideas and
solutions in state-of-the-art schemes. In total, we survey over 30 papers
published between 2016-2024, consolidate and compare their key features, and
pose several challenges and recommendations for future research in the area.
",review,1
2204.02921,A survey on recently proposed activation functions for Deep Learning,"  Artificial neural networks (ANN), typically referred to as neural networks,
are a class of Machine Learning algorithms and have achieved widespread
success, having been inspired by the biological structure of the human brain.
Neural networks are inherently powerful due to their ability to learn complex
function approximations from data. This generalization ability has been able to
impact multidisciplinary areas involving image recognition, speech recognition,
natural language processing, and others. Activation functions are a crucial
sub-component of neural networks. They define the output of a node in the
network given a set of inputs. This survey discusses the main concepts of
activation functions in neural networks, including; a brief introduction to
deep neural networks, a summary of what are activation functions and how they
are used in neural networks, their most common properties, the different types
of activation functions, some of the challenges, limitations, and alternative
solutions faced by activation functions, concluding with the final remarks.
",review,1
